problem,optimizer,run_idx,fx_best,site
Beer,fides,8,-18899.206397606646,ft3
Beer,fides,9,-16051.582642708145,ft3
Beer,fides,10,-21048.70385305769,ft3
Beer,BFGS,1,15769.530490516181,ft3
Beer,BFGS,2,4743.6104171383595,ft3
Beer,BFGS,3,13113.925261404605,ft3
Beer,BFGS,4,15710.509573485879,ft3
Beer,BFGS,5,16490.425041643834,ft3
Beer,BFGS,6,16639.164998427823,ft3
Beer,BFGS,7,16512.829686867328,ft3
Beer,BFGS,8,14502.260699892806,ft3
Beer,BFGS,9,16778.08280773941,ft3
Beer,BFGS,10,16344.235953731555,ft3
Beer,dogleg,1,18129.25954545615,ft3
Beer,dogleg,2,20079.192405564056,ft3
Beer,dogleg,3,14608.75277630288,ft3
Beer,dogleg,4,18821.299811517227,ft3
Beer,dogleg,5,18775.480406938404,ft3
Beer,dogleg,6,19743.526522536187,ft3
Beer,dogleg,7,20128.636965086836,ft3
Beer,dogleg,8,17092.17362341889,ft3
Beer,dogleg,9,17252.473588878373,ft3
Beer,dogleg,10,16969.236603866004,ft3
Beer,ipopt,1,-18003.262936776337,ft3
Beer,ipopt,2,-50141.34333099768,ft3
Beer,ipopt,3,-36991.52484962144,ft3
Beer,ipopt,4,-18004.606806058404,ft3
Beer,ipopt,5,-23570.518573831458,ft3
Beer,ipopt,6,-38357.92166994524,ft3
Beer,ipopt,7,-19222.800371113975,ft3
Beer,ipopt,8,-18003.02519535645,ft3
Beer,ipopt,9,-23568.8413925293,ft3
Beer,ipopt,10,-23578.38574944768,ft3
Beer,cmaes,1,149878.57212848924,ft3
Beer,cmaes,2,150261.58345178448,ft3
Beer,cmaes,3,16135.35990339852,ft3
Beer,cmaes,4,137729.563287253,ft3
Beer,cmaes,5,14571.663569559269,ft3
Beer,cmaes,6,14231.571158767792,ft3
Beer,cmaes,7,169343.0186176078,ft3
Beer,cmaes,8,19831.014719873056,ft3
Beer,cmaes,9,18815.436545512042,ft3
Beer,cmaes,10,16923.963684004833,ft3
Beer,pyswarm,1,11301.206553311016,ft3
Beer,pyswarm,2,11018.212898701377,ft3
Beer,pyswarm,3,12730.478781798569,ft3
Beer,pyswarm,4,14031.911851498357,ft3
Beer,pyswarm,5,14193.520519202328,ft3
Beer,pyswarm,6,13782.33380063466,ft3
Beer,pyswarm,7,11435.086106244467,ft3
Beer,pyswarm,8,13462.453382102958,ft3
Beer,pyswarm,9,12982.86149317211,ft3
Beer,pyswarm,10,11601.663068657299,ft3
Beer,L-BFGS-B,1,3501.1464615348614,ft3
Beer,L-BFGS-B,2,12909.37693799313,ft3
Beer,L-BFGS-B,3,913.2450688043343,ft3
Beer,L-BFGS-B,4,13014.741706413464,ft3
Beer,L-BFGS-B,5,13258.958843096954,ft3
Beer,L-BFGS-B,6,14371.888965945376,ft3
Beer,L-BFGS-B,7,2727.1487171243098,ft3
Beer,L-BFGS-B,8,7647.075402931538,ft3
Beer,L-BFGS-B,9,10646.800461375718,ft3
Beer,L-BFGS-B,10,10784.004192440223,ft3
Beer,Nelder-Mead,1,2803.841139386413,ft3
Beer,Nelder-Mead,2,3632.20388171606,ft3
Beer,Nelder-Mead,3,2814.007189545143,ft3
Beer,Nelder-Mead,4,2965.5699956891167,ft3
Beer,Nelder-Mead,5,6222.721907942672,ft3
Beer,Nelder-Mead,6,-423.0475245817129,ft3
Beer,Nelder-Mead,7,973.9374296086945,ft3
Beer,Nelder-Mead,8,4235.727498647169,ft3
Beer,Nelder-Mead,9,1542.3296010953684,ft3
Beer,Nelder-Mead,10,-4833.750655565535,ft3
Beer,cg,1,11094.518805157873,ft3
Beer,cg,2,9523.890558185574,ft3
Beer,cg,3,8944.423867069874,ft3
Beer,cg,4,8096.291838480911,ft3
Beer,cg,5,11627.518121689804,ft3
Beer,cg,6,12079.198216083985,ft3
Beer,cg,7,8271.889098536516,ft3
Beer,cg,8,9046.6043095534,ft3
Beer,cg,9,7276.63779596184,ft3
Beer,cg,10,9071.63103462986,ft3
Beer,newton-cg,1,48626.99657562357,ft3
Beer,newton-cg,2,187498.1550760623,ft3
Beer,newton-cg,3,133808.45929139576,ft3
Beer,newton-cg,4,93222.50984603816,ft3
Beer,newton-cg,5,17674.991518186216,ft3
Beer,newton-cg,6,81967.58895129827,ft3
Beer,newton-cg,7,117457.81145652021,ft3
Beer,newton-cg,8,19131.51023750416,ft3
Beer,newton-cg,9,189238.1984504832,ft3
Beer,newton-cg,10,16872.231718151153,ft3
Beer,nlopt_11,1,-13340.21266378209,ft3
Beer,nlopt_11,2,-14623.915004051902,ft3
Beer,nlopt_11,3,-14009.550333425248,ft3
Beer,nlopt_11,4,-13271.727411736305,ft3
Beer,nlopt_11,5,-16703.11717387777,ft3
Beer,nlopt_11,6,-13973.421821114413,ft3
Beer,nlopt_11,7,-17841.400156617692,ft3
Beer,nlopt_11,8,-10169.057934546594,ft3
Beer,nlopt_11,9,-13053.167930446043,ft3
Beer,nlopt_11,10,-15618.852003886499,ft3
Beer,nlopt_12,1,-8515.644847582476,ft3
Beer,nlopt_12,2,1931.223395417748,ft3
Beer,nlopt_12,3,-2129.5547642759047,ft3
Beer,nlopt_12,4,-9278.27582725391,ft3
Beer,nlopt_12,5,-3688.070680647065,ft3
Beer,nlopt_12,6,-10527.562883421824,ft3
Beer,nlopt_12,7,-2900.4250045313947,ft3
Beer,nlopt_12,8,780.7114330215545,ft3
Beer,nlopt_12,9,-12004.779452046974,ft3
Beer,nlopt_12,10,-4919.847528137807,ft3
Beer,nlopt_13,1,-14515.631692734789,ft3
Beer,nlopt_13,2,7303.696886639514,ft3
Beer,nlopt_13,3,-12828.845860943016,ft3
Beer,nlopt_13,4,-13175.60537473493,ft3
Beer,nlopt_13,5,-12246.479390244062,ft3
Beer,nlopt_13,6,-4950.20038873825,ft3
Beer,nlopt_13,7,-16192.301624390868,ft3
Beer,nlopt_13,8,-23462.534696046434,ft3
Beer,nlopt_13,9,3740.66874082455,ft3
Beer,nlopt_13,10,-11331.925511098438,ft3
Beer,nlopt_14,1,-12825.005531704852,ft3
Beer,nlopt_14,2,-6223.814266797832,ft3
Beer,nlopt_14,3,-10265.738782371081,ft3
Beer,nlopt_14,4,-6679.0599916519195,ft3
Beer,nlopt_14,5,-592.7844853938788,ft3
Beer,nlopt_14,6,5300.811657410953,ft3
Beer,nlopt_14,7,-11278.945930281756,ft3
Beer,nlopt_14,8,-12862.105546283721,ft3
Beer,nlopt_14,9,-14960.086296325122,ft3
Beer,nlopt_14,10,-11608.161924455953,ft3
Beer,nlopt_15,1,10124.812536640284,ft3
Beer,nlopt_15,2,9808.743175292973,ft3
Beer,nlopt_15,3,10316.080056307152,ft3
Beer,nlopt_15,4,5923.21465485287,ft3
Beer,nlopt_15,5,3586.4558538075644,ft3
Beer,nlopt_15,6,10067.141710384807,ft3
Beer,nlopt_15,7,12885.622284516676,ft3
Beer,nlopt_15,8,13864.295578383082,ft3
Beer,nlopt_15,9,2079.631738002137,ft3
Beer,nlopt_15,10,4579.8425405150965,ft3
Beer,nlopt_16,1,12704.617115150602,ft3
Beer,nlopt_16,2,11735.00545166783,ft3
Beer,nlopt_16,3,15034.295004456788,ft3
Beer,nlopt_16,4,12261.42176085119,ft3
Beer,nlopt_16,5,11308.30105550189,ft3
Beer,nlopt_16,6,12917.357100947444,ft3
Beer,nlopt_16,7,10940.874873011882,ft3
Beer,nlopt_16,8,8362.015870865247,ft3
Beer,nlopt_16,9,12044.746872438944,ft3
Beer,nlopt_16,10,10025.56513225404,ft3
Beer,nlopt_18,1,9055.831787234521,ft3
Beer,nlopt_18,2,12401.090147742007,ft3
Beer,nlopt_18,3,13652.612314022148,ft3
Beer,nlopt_18,4,5444.918032171379,ft3
Beer,nlopt_18,5,12386.805486105593,ft3
Beer,nlopt_18,6,14701.943410723305,ft3
Beer,nlopt_18,7,-2246.142963680958,ft3
Beer,nlopt_18,8,3424.8447896668004,ft3
Beer,nlopt_18,9,11385.359406952583,ft3
Beer,nlopt_18,10,11691.566139810939,ft3
Beer,nlopt_21,1,-2226.189094760321,ft3
Beer,nlopt_21,2,-3004.597179069609,ft3
Beer,nlopt_21,3,9283.805076324415,ft3
Beer,nlopt_21,4,7954.054850999715,ft3
Beer,nlopt_21,5,7999.469473804979,ft3
Beer,nlopt_21,6,-1635.2986997849866,ft3
Beer,nlopt_21,7,-7150.303305186699,ft3
