problem,optimizer,run_idx,optimality_gap
Laske,fides,1,58.847896431076094
Laske,fides,1,49.82338581101527
Laske,fides,1,73.70129356683822
Laske,fides,1,109.5486552971795
Laske,fides,1,100.51441737249013
Laske,fides,1,59.68390115423102
Laske,fides,1,115.85063189420862
Laske,fides,1,871.1667771731472
Laske,fides,1,60.263526415511876
Laske,fides,1,65.75954134845938
Laske,fides,1,33.67170272560787
Laske,fides,1,64.03652279113919
Laske,fides,1,85.32744678284052
Laske,fides,1,86.3144218215956
Laske,fides,1,35.91976606515851
Laske,fides,1,23.321014130687217
Laske,fides,1,2153.273426704096
Laske,fides,1,99.18115202755348
Laske,fides,1,127.3700292734166
Laske,fides,1,69.87505716698934
Laske,fides,1,4.812497991224518e-07
Laske,fides,1,58.42670988427932
Laske,fides,1,441646.71953966387
Laske,fides,1,68.79931687136826
Laske,fides,1,83.50695488396434
Laske,fides,1,536.744972629761
Laske,fides,1,84.07001500526223
Laske,fides,1,93.62084814258714
Laske,fides,1,24058.037769407394
Laske,fides,1,61.04332534977556
Laske,fides,1,97.01767796567657
Laske,fides,1,102.89685709932127
Laske,fides,1,73.70137546819842
Laske,fides,1,140.17595155256816
Laske,fides,1,107.65974203714177
Laske,fides,1,5492.666621608047
Laske,fides,1,193.15081034101047
